outcome,outcome_label,horizon,shock_type,shock_label,coefficient,se,ci_lower,ci_upper
gini_broad,Gini coefficient - broad consumption,0,demand_shock_agg,BH aggregate demand shock (economic activity),.0001908168625904,.0023275831239703,-.0043712460603914,.0047528797855722
gini_broad,Gini coefficient - broad consumption,1,demand_shock_agg,BH aggregate demand shock (economic activity),-.0005403557737373,.0021880809615939,-.0048289944584613,.0037482829109867
gini_broad,Gini coefficient - broad consumption,2,demand_shock_agg,BH aggregate demand shock (economic activity),-.0012758391108114,.0021668602450986,-.0055228851912047,.0029712069695819
gini_broad,Gini coefficient - broad consumption,3,demand_shock_agg,BH aggregate demand shock (economic activity),-.0005134897783654,.0028460544130302,-.0060917564279046,.0050647768711738
gini_broad,Gini coefficient - broad consumption,4,demand_shock_agg,BH aggregate demand shock (economic activity),.0003073200209252,.0024995576176396,-.0045918129096484,.0052064529514988
gini_broad,Gini coefficient - broad consumption,5,demand_shock_agg,BH aggregate demand shock (economic activity),-.0057926619272922,.0025618899919572,-.0108139663115283,-.0007713575430561
gini_broad,Gini coefficient - broad consumption,6,demand_shock_agg,BH aggregate demand shock (economic activity),-.0031192286502668,.0029331901954382,-.0088682814333257,.0026298241327921
gini_broad,Gini coefficient - broad consumption,7,demand_shock_agg,BH aggregate demand shock (economic activity),-.0024093616447657,.0026614436666802,-.0076257912314589,.0028070679419275
gini_broad,Gini coefficient - broad consumption,8,demand_shock_agg,BH aggregate demand shock (economic activity),-.0034197572493562,.0028259122710347,-.0089585453005842,.0021190308018718
gini_broad,Gini coefficient - broad consumption,9,demand_shock_agg,BH aggregate demand shock (economic activity),-.0046147321319944,.0034302911642304,-.011338102813886,.0021086385498972
gini_broad,Gini coefficient - broad consumption,10,demand_shock_agg,BH aggregate demand shock (economic activity),-.0012978928800443,.0037464580708143,-.0086409506988403,.0060451649387517
gini_broad,Gini coefficient - broad consumption,11,demand_shock_agg,BH aggregate demand shock (economic activity),.0038957456697498,.0029916250577522,-.0019678394434445,.0097593307829441
gini_broad,Gini coefficient - broad consumption,12,demand_shock_agg,BH aggregate demand shock (economic activity),.0012891969124119,.0031782760632161,-.0049402241714917,.0075186179963155
gini_broad,Gini coefficient - broad consumption,13,demand_shock_agg,BH aggregate demand shock (economic activity),-.0071322443258278,.0032319700090585,-.0134669055435825,-.0007975831080731
gini_broad,Gini coefficient - broad consumption,14,demand_shock_agg,BH aggregate demand shock (economic activity),-.0069939287301267,.0028404143297776,-.0125611408164908,-.0014267166437626
gini_broad,Gini coefficient - broad consumption,15,demand_shock_agg,BH aggregate demand shock (economic activity),.0000180585021357,.0027169797779909,-.0053072218627265,.0053433388669979
gini_broad,Gini coefficient - broad consumption,16,demand_shock_agg,BH aggregate demand shock (economic activity),-.0023510399190675,.0025186853567554,-.0072876632183081,.0025855833801731
gini_broad,Gini coefficient - broad consumption,17,demand_shock_agg,BH aggregate demand shock (economic activity),-.0039675819161771,.0021790330000937,-.0082384865963608,.0003033227640066
gini_broad,Gini coefficient - broad consumption,18,demand_shock_agg,BH aggregate demand shock (economic activity),-.0059425315797503,.0031860509423276,-.0121871914267124,.0003021282672118
gini_broad,Gini coefficient - broad consumption,19,demand_shock_agg,BH aggregate demand shock (economic activity),-.0007088751202217,.0031919305391894,-.0069650589770329,.0055473087365895
gini_broad,Gini coefficient - broad consumption,20,demand_shock_agg,BH aggregate demand shock (economic activity),-.0031040708234473,.0023060485610516,-.0076239260031084,.0014157843562138
gini_broad,Gini coefficient - broad consumption,0,demand_shock_oil,BH oil consumption demand shock (oil market),.000368658790511,.0003279550278088,-.0002741330639942,.0010114506450162
gini_broad,Gini coefficient - broad consumption,1,demand_shock_oil,BH oil consumption demand shock (oil market),.0005052132629484,.0003613809167064,-.0002030933337961,.0012135198596929
gini_broad,Gini coefficient - broad consumption,2,demand_shock_oil,BH oil consumption demand shock (oil market),-.0006513043260963,.0003089002744924,-.0012567488641014,-.0000458597880912
gini_broad,Gini coefficient - broad consumption,3,demand_shock_oil,BH oil consumption demand shock (oil market),-.0005624971433748,.000329163040681,-.0012076567031096,.00008266241636
gini_broad,Gini coefficient - broad consumption,4,demand_shock_oil,BH oil consumption demand shock (oil market),8.51218978373e-06,.0004042265709259,-.000783771889231,.0008007962687985
gini_broad,Gini coefficient - broad consumption,5,demand_shock_oil,BH oil consumption demand shock (oil market),-.0002987426589583,.0003715711476505,-.0010270221083533,.0004295367904367
gini_broad,Gini coefficient - broad consumption,6,demand_shock_oil,BH oil consumption demand shock (oil market),-.0002822496316323,.0003705068301432,-.001008443018713,.0004439437554484
gini_broad,Gini coefficient - broad consumption,7,demand_shock_oil,BH oil consumption demand shock (oil market),-.0002639897114256,.0003469352915592,-.0009439828828816,.0004160034600304
